mem_no,mem_id,mem_sex,mem_age,mem_loc,mem_birth_ddi,mate_blood,pf_ins_yn,mbti_code,food_cat,concn
223417,pmdl,m,39,o,3,3,y,ENFJ,western korean,0.0
224041,g8TW,m,35,k,7,2,y,INFP,western korean,0.0
229643,kzNs,f,28,b,2,1,y,INFP,western korean japanese,1.0
231054,tKF3,m,33,g,9,2,y,ENFP,korean japanese,0.0
231274,TPhV,m,35,k,7,1,y,ENFP,western etc korean japanese,0.0
234163,Tpa1,m,36,b,6,2,y,ENFP,korean western chinese etc japanese,0.0
237809,RibM,m,37,b,5,3,y,ESFJ,western chinese korean japanese,0.0
238717,gFae,m,33,f,9,2,y,ENFJ,western korean dessert japanese,1.0
240746,wvY5,m,31,k,11,2,y,INTP,japanese,1.0
241382,WQOC,m,39,i,3,4,y,ISFP,chinese korean,0.0
243121,MeTI,m,38,b,4,3,y,ESFP,korean,0.0
244313,pXeQ,m,38,b,4,1,y,ESFP,western korean,0.0
247491,BZYq,m,33,h,9,1,y,ISFJ,korean etc chinese dessert,0.0
248262,VHPg,m,37,k,5,1,y,ISFP,western korean japanese,1.0
248577,QDrm,m,35,g,7,3,y,INFP,etc korean japanese,1.0
249346,qE54,m,33,b,9,1,y,ISFJ,western chinese korean,0.0
251181,Hw0S,m,38,h,4,3,y,ISFP,western chinese korean japanese,1.0
252782,NhMF,m,36,d,6,3,y,ENTP,western chinese korean japanese,0.0
252822,9LfN,m,39,j,3,1,y,INFP,chinese korean japanese,0.0
255654,G0iF,m,34,b,8,3,y,ENFJ,korean japanese,1.0
256118,g8Ga,m,39,o,3,1,y,ENFP,chinese korean japanese,1.0
259068,iypf,m,36,b,6,1,y,INFP,western chinese korean japanese,1.0
266821,bSYJ,f,36,b,6,1,y,ISFP,western chinese korean,1.0
267294,wRFg,m,37,b,5,3,y,ENTJ,western etc japanese,0.0
267414,cNkK,m,36,i,6,1,y,ENFJ,western dessert japanese,0.0
267426,PjuL,m,36,b,6,4,y,ISTP,western etc korean japanese,0.0
268143,x8i1,m,35,l,7,1,y,INFP,western korean japanese,0.0
271483,6zkS,m,35,f,7,3,y,INFJ,etc korean japanese,0.0
272998,Tsk4,m,37,b,5,2,y,ISTP,western korean,0.0
274616,7XZI,m,38,f,4,2,y,ISFP,korean,0.0
275680,dipM,m,35,i,7,2,y,INFP,western korean japanese,0.0
275999,vqRz,m,34,b,8,4,y,INFP,japanese,0.0
278402,X5xu,f,38,c,4,3,y,INFP,korean,0.0
278634,UEdT,m,38,p,4,2,y,INFP,korean japanese,0.0
280588,uEgv,m,39,d,3,2,y,ISFP,western korean,0.0
281462,lcUB,m,37,f,5,2,y,ISFJ,western korean japanese,0.0
281574,lK5P,m,31,b,11,1,y,ESFJ,korean,0.0
282275,3FWx,m,39,h,3,1,y,ENFP,western korean dessert japanese,0.0
283756,ErHf,m,38,i,4,3,y,INFP,korean,0.0
284789,XDIC,m,38,l,4,2,y,ISFP,korean western chinese etc japanese,1.0
286690,Wcyh,m,34,b,8,3,y,INFP,western chinese korean japanese,1.0
287914,isWE,m,39,e,3,2,y,ENFJ,korean japanese,1.0
289137,Tv4T,m,37,n,5,1,y,INFJ,western chinese japanese,0.0
289329,2WOp,m,37,a,5,1,y,INFP,korean japanese,0.0
293260,EyKU,m,34,i,8,1,y,ENTJ,western korean,1.0
296093,2g3i,m,36,i,6,4,y,ESFJ,western chinese korean japanese,1.0
300127,fFI6,m,36,o,6,3,y,ENFJ,western korean japanese,0.0
300404,yipt,m,39,o,3,4,y,ISFJ,western etc korean japanese,0.0
300748,uIYm,m,35,c,7,3,y,INFP,western korean,1.0
300822,4wlL,m,38,o,4,3,y,ISFP,western etc korean japanese,1.0
302223,5O0W,m,36,h,6,2,y,ENFP,western korean japanese,1.0
303089,J6H1,m,35,l,7,1,y,ISTP,western korean,0.0
303305,TGmL,m,39,d,3,1,y,ISFJ,chinese korean japanese,0.0
304426,EUq7,m,37,b,5,4,y,INTP,chinese korean japanese,0.0
306708,jwei,m,35,b,7,2,y,ISFP,western,1.0
308714,NhEi,f,30,d,0,3,y,ENFP,western etc korean japanese,0.0
309221,MIpf,m,37,b,5,2,y,INFP,western chinese korean japanese,1.0
309838,Lvg9,m,37,m,5,4,y,INFP,western,1.0
313057,t7eZ,m,39,j,3,4,y,INFJ,etc korean japanese,0.0
313746,YFTi,m,37,g,5,3,y,INFP,korean,1.0
314333,EaYV,m,38,d,4,4,y,INFP,chinese korean japanese,0.0
314724,kK91,m,36,o,6,3,y,ENFP,western etc korean japanese,1.0
317136,Cj6x,m,37,f,5,2,y,ISFJ,chinese korean japanese,0.0
321655,0j8S,m,38,o,4,1,y,ENFJ,korean japanese,1.0
323935,ZZ8S,m,38,d,4,2,y,ISFP,chinese korean japanese,0.0
324507,lXRE,m,33,q,9,2,y,ESTP,western korean japanese,1.0
325639,u3kI,m,34,i,8,2,y,ISFP,korean,0.0
326275,60dt,m,37,f,5,1,y,ISTP,western chinese korean japanese,0.0
332221,qLEw,m,39,l,3,3,y,INFP,chinese korean,0.0
333100,8iu1,m,33,d,9,1,y,INFP,chinese korean japanese,0.0
334288,M3J2,m,37,n,5,1,y,ISFP,western etc japanese,0.0
334485,naHF,m,33,i,9,3,y,ISFP,western chinese korean japanese,0.0
334809,Z3Ri,f,24,k,6,2,y,ENFJ,western korean japanese,0.0
335484,MNWu,m,37,c,5,3,y,ISFP,western korean,0.0
336412,X8DS,m,37,i,5,3,y,ENFJ,western chinese korean japanese,0.0
336611,OU1v,m,39,a,3,1,y,INTJ,etc japanese,0.0
337188,wOeW,m,36,d,6,3,y,ENFJ,western korean japanese,0.0
341729,WHI9,m,38,i,4,3,y,ESTJ,korean western dessert japanese,0.0
343198,QaZo,m,36,c,6,3,y,ENFP,korean japanese,0.0
344326,1IjE,m,35,m,7,1,y,ESTP,korean japanese,0.0
345104,j0QO,m,37,d,5,4,y,INFJ,korean japanese,0.0
345540,DctM,m,37,c,5,3,y,ISFP,chinese korean japanese,1.0
345765,XAfQ,m,33,c,9,3,y,INFJ,western chinese korean japanese,0.0
346013,xYHn,m,34,d,8,1,y,ISFJ,japanese,0.0
346101,E1Uc,m,30,p,0,1,y,ENFP,western korean japanese,0.0
347084,J9an,m,38,c,4,1,y,INFP,western korean,1.0
348057,3Ypy,m,35,b,7,2,y,INTJ,western korean japanese,0.0
349869,Snjs,m,39,l,3,1,y,ESFP,chinese,1.0
349926,7ugR,f,31,f,11,4,y,ENFP,western korean japanese,0.0
350171,MpXK,m,35,e,7,3,y,ISFP,western,0.0
351948,fGch,m,39,q,3,3,y,INFJ,western korean dessert etc,1.0
353460,GiqO,m,38,d,4,2,y,ESFJ,chinese korean japanese,0.0
353569,JsOs,f,38,j,4,1,y,INFP,western korean japanese,0.0
356047,bPqg,m,37,i,5,4,y,INTP,korean,0.0
356815,pHrf,m,32,j,10,3,y,INFP,western korean japanese,0.0
359301,QAWi,m,39,i,3,2,y,INFJ,western chinese korean,1.0
359420,q5Ha,m,34,b,8,3,y,ISFP,etc chinese japanese,1.0
359961,H6KY,m,35,h,7,1,y,INFP,western chinese korean,1.0
359997,MOHz,m,33,c,9,1,y,ISFP,western korean japanese,0.0
360878,1aWo,f,37,e,5,3,y,ISFP,japanese,1.0
363492,947A,f,37,f,5,1,y,ISFJ,chinese korean japanese,0.0
363847,uKlb,m,39,i,3,4,y,INTJ,chinese korean japanese,0.0
364471,Gmtx,m,30,e,0,2,y,ENFJ,western chinese japanese,0.0
367236,GbDE,f,35,z,7,1,y,ISFP,western korean japanese,0.0
369545,gLlG,m,36,d,6,2,y,ISFP,korean dessert,1.0
371701,sgp2,m,35,m,7,2,y,ISFP,korean japanese,0.0
373781,mT8M,m,34,m,8,3,y,INTJ,korean,0.0
375113,m3I7,m,38,d,4,1,y,INFP,western chinese korean japanese,0.0
376729,7n5b,m,37,c,5,2,y,ISFP,western korean japanese,0.0
376950,Xi7M,m,39,b,3,2,y,INFJ,western chinese korean,0.0
377791,dn9B,m,37,j,5,2,y,INFP,western korean,0.0
379236,oLMG,m,38,n,4,1,y,INFJ,dessert japanese,0.0
379650,aULu,m,36,i,6,1,y,INFJ,western dessert japanese,0.0
379961,wmST,f,36,b,6,2,y,INTP,western chinese japanese,0.0
383135,8SnW,m,35,d,7,1,y,ISFP,western korean japanese,1.0
383434,AJci,m,30,i,0,1,y,ENFP,western korean,0.0
383653,fDwX,f,34,b,8,1,y,ENFP,korean,0.0
383988,Wabc,m,37,n,5,3,y,ESTJ,chinese korean japanese,0.0
385835,SVgt,m,38,e,4,3,y,ISFP,western korean japanese,1.0
389002,2qUo,f,37,o,5,1,y,ISFJ,western dessert japanese,0.0
389030,qorp,m,35,e,7,2,y,ENFJ,western korean japanese,0.0
389218,bEvN,m,33,o,9,2,y,INTP,western korean,1.0
389821,Xsxl,m,38,n,4,3,y,ISFP,western korean,0.0
389928,9YG4,m,37,e,5,1,y,INFP,chinese korean japanese,0.0
390646,XJNz,m,39,e,3,1,y,INTP,western korean,0.0
393506,C7aO,m,34,c,8,1,y,INFJ,etc chinese korean japanese,0.0
395750,zPgG,m,38,k,4,3,y,ISTP,dessert korean western chinese japanese,0.0
395832,eBop,m,34,d,8,2,y,INFP,western chinese korean japanese,0.0
396494,tnx0,m,36,b,6,3,y,INFP,western korean japanese,0.0
397677,Krvy,m,38,c,4,1,y,INFJ,korean japanese,0.0
398689,bKVH,m,36,n,6,1,y,ISTJ,western chinese dessert japanese,0.0
400139,MBP5,m,31,b,11,1,y,INFP,western korean japanese,0.0
400992,yPaO,m,38,k,4,4,y,ENFJ,korean japanese,0.0
404068,v2uX,m,33,b,9,1,y,ESFJ,korean japanese,1.0
408018,aNUb,m,34,g,8,2,y,INFP,western korean japanese,0.0
409102,fAt2,f,38,n,4,3,y,ISFJ,korean japanese,0.0
416000,yEsT,m,39,j,3,1,y,INFP,japanese,0.0
416284,qES2,m,39,b,3,2,y,ISTJ,western chinese japanese,0.0
418061,4jGZ,m,36,c,6,1,y,ENTP,western korean japanese,1.0
419597,SfWF,m,32,k,9,4,y,INFJ,korean,0.0
421688,JFFR,m,33,b,9,1,y,ISTP,western korean japanese,0.0
423379,WCzD,m,35,b,7,3,y,ESFP,western japanese,0.0
424382,Cwre,m,34,p,8,3,y,ENFP,western korean japanese,0.0
424464,ycAo,f,37,g,5,3,y,ENFP,japanese,0.0
425228,2BVW,m,37,e,5,1,y,INFP,western chinese japanese,1.0
425455,xbJp,f,36,n,6,2,y,ISFP,western korean japanese,1.0
425566,ylWh,m,37,b,5,2,y,ISFP,western korean japanese,0.0
426368,6fj0,m,39,g,3,4,y,ENFP,western korean japanese,1.0
426898,AhzG,m,36,h,6,3,y,ESFP,western korean japanese,0.0
427434,cSTT,m,32,m,10,2,y,ENFP,western korean japanese,0.0
428480,T84t,m,39,b,3,3,y,ISFP,korean,0.0
428949,042M,m,38,h,4,2,y,ISTJ,korean dessert japanese,0.0
430352,utrA,m,38,d,4,4,y,ISTP,chinese korean japanese,0.0
430455,vq56,m,36,b,6,1,y,INFP,western korean japanese,0.0
433088,ctym,m,38,p,4,1,y,ENFJ,etc korean,0.0
433335,N1II,m,39,c,3,2,y,ENFP,western chinese korean,0.0
434030,grdo,m,37,d,5,2,y,ISFP,chinese korean,1.0
434101,xNeA,m,34,h,8,1,y,ISFP,western dessert japanese,1.0
434153,Oerg,m,38,i,4,1,y,ISFP,western japanese,0.0
434176,Szuq,m,35,h,7,2,y,ISFJ,western chinese korean japanese,0.0
434217,o8Qu,m,38,c,4,2,y,ENFJ,chinese korean japanese,1.0
434287,lDDj,m,34,c,8,2,y,ENFP,dessert chinese korean,0.0
435401,XbQu,m,33,b,9,1,y,INFJ,korean,0.0
435836,ssBx,f,34,b,8,3,y,ISTJ,korean dessert japanese,0.0
436043,ryv4,m,37,b,5,3,y,INFP,western dessert japanese,1.0
438558,qQne,m,39,l,3,3,y,ENFJ,western korean japanese,0.0
440769,Xn41,m,35,i,7,4,y,ESFJ,western japanese,0.0
442136,Pvhl,m,37,i,5,4,y,ISFP,chinese korean japanese,0.0
442234,8GQP,m,39,c,3,1,y,ESTJ,western korean chinese dessert,1.0
443367,HGgF,m,39,a,3,2,y,ISFP,korean,0.0
443498,1Maj,m,38,f,4,1,y,ENFJ,chinese korean,1.0
444562,xmyF,m,38,j,4,1,y,INTP,western japanese,0.0
445787,OKKy,m,38,e,4,2,y,ENFJ,western chinese korean japanese,0.0
446609,4i2i,m,33,o,9,3,y,ISTP,western korean dessert japanese,0.0
446940,KHRg,m,37,i,5,4,y,ESFJ,western korean japanese,1.0
447416,Piqi,f,32,i,10,2,y,ESFJ,western dessert japanese,1.0
447604,mQup,m,34,b,8,2,y,ENFP,western korean japanese,0.0
448138,tz1h,m,36,d,6,3,y,INTP,korean,0.0
449313,2OlL,m,34,b,8,1,y,ENFP,western korean japanese,1.0
449599,tEfV,m,37,h,5,2,y,INFP,western chinese korean japanese,1.0
449789,0mQF,f,25,b,5,2,y,ENFP,western chinese korean japanese,0.0
451410,eBfv,m,38,n,4,2,y,ENTP,dessert korean western etc japanese,0.0
454104,Qjuu,m,36,c,6,2,y,INFP,western dessert japanese,0.0
455547,dcK5,m,38,b,4,1,y,ENTP,chinese korean japanese,1.0
456163,DN54,m,36,k,6,3,y,ENTP,western chinese korean japanese,0.0
457820,yRdS,m,39,h,3,2,y,ENFP,western korean japanese,1.0
458229,OFpa,f,39,b,3,1,y,ISFP,western korean japanese,0.0
459101,sxZW,m,37,b,5,3,y,INFP,western etc korean japanese,0.0
459108,MAJq,m,38,f,4,3,y,ISFJ,western chinese japanese,0.0
459218,hNNH,m,38,b,4,1,y,ISFP,korean japanese,0.0
460066,QQBs,m,38,f,4,2,y,INTJ,western chinese korean,1.0
460913,Zhru,m,37,i,5,3,y,ENTP,korean western chinese etc japanese,0.0
462404,Gpco,m,38,i,4,1,y,INFP,western korean,0.0
463765,iLXy,m,38,o,4,1,y,ISFP,korean,0.0
464683,iAnK,f,39,f,3,1,y,ISFP,western chinese korean japanese,0.0
464932,cnHO,m,34,c,8,3,y,INFP,korean japanese,0.0
465389,0iL8,m,39,b,3,3,y,ISFJ,western chinese korean japanese,1.0
466256,0mlk,m,39,b,3,2,y,ESFP,western dessert japanese,0.0
467403,wkiX,f,35,a,7,3,y,INFP,western korean dessert,1.0
472387,kBuu,m,39,o,3,2,y,ESTP,chinese korean japanese,0.0
473377,w81h,m,38,e,4,4,y,ENFJ,western japanese,0.0
475423,Ede5,m,37,o,5,4,y,ESFP,western chinese japanese,0.0
477114,90Jn,m,39,j,3,1,y,ISFP,western korean japanese,0.0
478555,7PiR,m,39,d,3,3,y,INFP,western chinese japanese,1.0
479291,OC7Z,m,36,i,6,2,y,ENTJ,western chinese korean,1.0
479556,CXuv,m,39,b,3,1,y,ENTJ,etc korean japanese,1.0
480775,qRun,m,29,b,1,1,y,INFJ,western chinese korean japanese,0.0
481626,NWtL,m,32,g,10,2,y,ISTP,western chinese dessert japanese,0.0
482191,1eGZ,m,37,a,5,1,y,INFP,korean,0.0
482791,vofz,f,36,h,6,1,y,ISFJ,western korean japanese,0.0
483644,tC95,m,36,c,6,2,y,ENTP,chinese korean,0.0
484459,ahhf,m,39,i,3,2,y,ENTP,western chinese korean japanese,1.0
484764,gWl8,m,36,b,6,3,y,INFP,korean japanese,0.0
487196,dvFh,m,35,n,7,1,y,ENFP,chinese korean japanese,0.0
488314,i3kF,m,38,b,4,4,y,INFP,etc korean japanese,0.0
488680,xKWs,m,38,i,4,2,y,INTP,western chinese korean japanese,1.0
490264,pg5d,m,36,z,5,2,y,INFP,chinese korean,0.0
490282,OkDV,m,35,f,7,2,y,ENFJ,chinese korean japanese,0.0
491380,6Ml0,f,39,b,3,1,y,ISFP,western korean dessert etc,0.0
492410,zKjd,m,39,c,3,2,y,INFJ,western japanese,1.0
494467,mgmX,m,38,b,4,1,y,ENFP,western korean japanese,1.0
495239,n7pI,m,32,b,10,2,y,ENFP,korean japanese,0.0
495688,1ejY,m,39,i,3,2,y,ENFP,western etc korean japanese,1.0
496709,8wyQ,m,39,i,3,2,y,INFP,korean japanese,0.0
498146,jjEq,m,38,b,4,3,y,INTP,korean,1.0
500088,KGSN,m,38,c,4,3,y,ISFJ,chinese japanese,1.0
500532,RYPS,m,37,b,5,2,y,INTJ,western etc korean japanese,1.0
502694,09TK,m,34,a,8,2,y,ESFJ,korean japanese,0.0
504065,lo0Q,f,39,p,3,2,y,INFP,chinese korean,1.0
505127,dvYa,m,31,p,11,1,y,ENFP,western korean japanese,1.0
506514,09qh,m,34,p,8,3,y,INFP,etc korean japanese,1.0
506950,Y3ql,m,38,g,4,4,y,INFJ,western korean japanese,1.0
509026,thJG,m,35,i,7,4,y,ISFJ,western etc korean japanese,1.0
509228,JIjB,m,37,h,5,3,y,ISFP,western korean japanese,1.0
509455,1ojJ,m,39,j,3,3,y,ESFJ,dessert japanese,0.0
509550,wy7p,m,38,i,4,3,y,ENFJ,western korean japanese,0.0
509645,F7o1,m,32,k,10,4,y,ISFP,western korean japanese,0.0
510311,ANHE,m,39,o,3,3,y,ENFJ,western chinese dessert japanese,1.0
511805,A6Nr,m,32,d,10,2,y,INTP,korean japanese,0.0
511962,EBFq,m,37,i,5,1,y,ISFP,western korean japanese,0.0
512160,Uxtn,m,39,a,3,4,y,ENFP,western korean japanese,1.0
512762,Revo,m,38,h,4,2,y,ENFJ,western chinese dessert japanese,0.0
513604,IDpT,f,30,f,0,1,y,ENFJ,western korean japanese,1.0
514145,HnTi,m,35,f,7,4,y,INTP,western chinese korean japanese,0.0
515092,XTsV,m,39,n,3,2,y,ISFP,chinese korean japanese,1.0
515820,eVZ1,m,33,l,9,1,y,ENFP,western korean japanese,0.0
516797,5uuO,m,39,o,3,3,y,ISFP,chinese japanese,0.0
519080,feRa,m,37,l,5,2,y,ENFP,western chinese korean japanese,0.0
519484,Rtul,m,39,k,3,4,y,INFP,korean chinese dessert,1.0
519761,f5fy,m,38,e,4,3,y,ESFJ,western korean japanese,0.0
520242,28gZ,f,31,b,11,1,y,ENFJ,western,0.0
522545,lxsc,m,38,h,4,1,y,INFJ,western korean japanese,0.0
524432,xQoj,m,32,b,10,3,y,ENFP,korean japanese,0.0
525469,pT6N,m,38,h,4,2,y,ESFP,western etc korean japanese,0.0
529292,WndK,m,38,e,4,3,y,ISTJ,western korean japanese,0.0
530216,H8bC,m,39,l,3,1,y,INFP,western chinese korean japanese,1.0
530280,xkVk,m,26,a,4,2,y,ENTP,western chinese japanese,0.0
531218,mjOb,m,33,n,9,3,y,INFJ,japanese,0.0
533363,tRNu,m,38,d,4,2,y,ISFJ,korean western chinese etc japanese,0.0
533503,sQUH,m,39,m,3,1,y,ISFP,korean,0.0
535631,iE3O,m,39,i,3,3,y,INFP,korean,0.0
535982,8ndG,m,38,h,4,3,y,ENFP,western korean dessert japanese,0.0
537373,Cgvo,m,39,c,3,3,y,INFP,western chinese korean,0.0
537384,Q21B,m,38,a,4,3,y,ISFJ,dessert korean western chinese japanese,1.0
537730,fO9M,m,38,l,4,1,y,ENFP,chinese korean japanese,0.0
538293,T4gF,m,38,e,3,1,y,ENFP,western chinese japanese,0.0
538888,bQpT,m,38,d,4,4,y,INFJ,western etc korean japanese,1.0
539576,MM88,m,39,k,3,4,y,ENFJ,korean japanese,0.0
539995,5xLS,m,38,k,4,2,y,ISTP,dessert korean,1.0
540346,J8lw,m,35,i,7,2,y,ESFP,western dessert japanese,0.0
541231,NgQJ,m,33,i,9,1,y,ENTP,chinese korean japanese,1.0
541329,fUpf,m,35,b,7,2,y,ISFP,korean western chinese etc japanese,0.0
543390,hrum,m,36,b,6,2,y,ISTJ,western japanese,0.0
544939,Cx5N,m,39,b,3,3,y,ISFP,korean,0.0
545294,u0y0,m,39,g,3,4,y,INFP,western chinese korean,0.0
545445,BPci,m,36,p,6,2,y,ENFP,western dessert japanese,1.0
546808,DCLt,m,39,i,3,4,y,INFJ,western etc korean japanese,1.0
546874,F6Fz,m,39,b,3,3,y,INFJ,chinese korean japanese,1.0
547557,Mh74,m,38,c,4,1,y,ESFP,western korean japanese,0.0
548102,pCEO,m,38,k,4,1,y,ISTP,western chinese japanese,1.0
548868,eMUI,m,30,b,0,2,y,ENFP,western,1.0
549062,NedL,m,31,c,11,4,y,INFJ,etc korean,0.0
551624,Hay1,m,35,b,7,2,y,INFJ,western chinese korean,0.0
551699,oWw7,m,38,b,4,2,y,ESTJ,chinese korean japanese,0.0
554364,qYkY,m,34,h,8,2,y,ISTJ,western chinese korean,0.0
555467,kAHT,m,34,d,8,4,y,ENFJ,western japanese,0.0
555989,9LIS,f,39,b,3,3,y,INTP,western korean japanese,0.0
556185,8Nqy,m,33,b,9,4,y,ISTP,etc chinese korean japanese,1.0
556421,2VNz,m,39,a,3,2,y,INFP,western japanese,0.0
556558,faEy,m,39,l,3,1,y,ENFJ,western korean japanese,1.0
556648,eV3O,m,29,o,1,1,y,INFP,western etc japanese,1.0
557124,o9yr,f,32,b,10,3,y,ENFP,western dessert,0.0
558377,H4dq,m,34,a,8,3,y,ENFP,chinese korean japanese,1.0
559223,v33M,m,35,c,7,3,y,ISFJ,western korean japanese,1.0
559255,gkgM,m,28,b,2,4,y,INFP,western chinese korean japanese,0.0
560000,0WK7,f,30,p,0,1,y,ESFJ,korean japanese,0.0
561679,1Jvv,m,39,b,3,3,y,ISFP,chinese korean,0.0
563253,dGRH,m,36,p,6,2,y,INFJ,western korean,1.0
563355,zeTF,f,34,a,8,4,y,ESFJ,etc korean japanese,0.0
564756,H4Sk,m,38,b,4,3,y,ENFJ,etc korean japanese,0.0
565166,31Zh,m,36,b,6,2,y,ESFJ,korean,1.0
566245,Otyd,m,38,k,4,3,y,ESFP,western korean japanese,0.0
566284,bmGY,m,35,b,7,3,y,INTP,western chinese korean japanese,0.0
568088,UYSX,m,36,d,6,3,y,ISFP,chinese korean japanese,0.0
569894,pEeA,m,38,b,4,3,y,INFP,chinese korean japanese,1.0
570418,xwiT,m,39,h,3,3,y,ENFP,western korean japanese,0.0
570513,HrvC,m,34,i,8,3,y,INFJ,korean,0.0
570915,dOfu,m,35,d,7,1,y,INTP,western dessert japanese,1.0
571259,Kj5n,m,35,c,7,3,y,INFP,western korean japanese,0.0
572204,7e23,m,32,o,10,1,y,INFP,korean,0.0
572321,1YmM,m,38,p,4,3,y,INTP,western korean,0.0
572485,xslR,m,37,k,5,1,y,INFP,korean,0.0
573604,FOGy,m,38,c,4,1,y,ESFP,western chinese korean japanese,0.0
575917,iLID,m,33,i,9,1,y,INFP,western chinese dessert japanese,1.0
576762,37cw,m,37,z,5,3,y,INFP,korean,1.0
576881,ZJkT,f,39,i,3,3,y,ISTP,etc korean japanese,0.0
577335,sheQ,m,39,k,3,1,y,ISFP,western korean,0.0
577337,pBVD,m,39,c,3,4,y,ENFP,western japanese,0.0
579192,TDln,m,39,i,3,3,y,ISTJ,western chinese dessert japanese,0.0
579253,PQBF,m,38,b,4,3,y,INTP,western chinese korean japanese,0.0
579943,puIx,m,38,p,4,2,y,ENFP,dessert korean western chinese japanese,0.0
582376,iNB9,m,38,b,4,2,y,INFJ,western chinese korean japanese,1.0
582851,8AQJ,m,33,b,9,3,y,INFP,western chinese korean,1.0
582939,xsS3,m,30,a,0,1,y,ISFP,chinese korean,0.0
584045,rYAo,m,37,p,5,3,y,ISFJ,western korean japanese,1.0
585893,Ipv7,m,34,i,8,4,y,INFP,korean japanese,0.0
589333,nEMf,m,34,d,8,3,y,ESFP,korean japanese,1.0
589948,mHvF,m,38,b,4,3,y,ISFP,western korean japanese,1.0
590383,X1vX,m,37,f,5,2,y,ENFP,western korean,0.0
593047,7zcM,m,34,i,8,2,y,INFJ,western korean japanese,1.0
